Subscribers,Delay (ms)
2 Subscribers,321.82
2 Subscribers,326.97
2 Subscribers,328.34
2 Subscribers,328.65
2 Subscribers,330.44
2 Subscribers,332.83
2 Subscribers,332.96
2 Subscribers,332.97
2 Subscribers,333.01
2 Subscribers,333.06
2 Subscribers,333.43
2 Subscribers,333.67
2 Subscribers,333.73
2 Subscribers,334.03
2 Subscribers,334.34
2 Subscribers,334.45
2 Subscribers,334.56
2 Subscribers,334.94
2 Subscribers,335.09
2 Subscribers,335.27
2 Subscribers,335.4
2 Subscribers,335.81
2 Subscribers,335.89
2 Subscribers,336.46
2 Subscribers,336.69
2 Subscribers,337.02
2 Subscribers,338.39
2 Subscribers,339.11
2 Subscribers,339.63
2 Subscribers,339.8
2 Subscribers,340.86
2 Subscribers,340.92
2 Subscribers,340.99
2 Subscribers,341.17
2 Subscribers,341.35
2 Subscribers,341.88
2 Subscribers,342.14
2 Subscribers,342.21
2 Subscribers,342.21
2 Subscribers,343.04
2 Subscribers,344.68
2 Subscribers,346.13
2 Subscribers,346.61
2 Subscribers,348.12
2 Subscribers,348.41
2 Subscribers,349.86
2 Subscribers,351.27
2 Subscribers,351.99
2 Subscribers,352.23
2 Subscribers,352.42
2 Subscribers,352.77
2 Subscribers,353.12
2 Subscribers,355.64
2 Subscribers,355.84
2 Subscribers,356.63
2 Subscribers,356.95
2 Subscribers,360.26
2 Subscribers,360.31
2 Subscribers,360.31
2 Subscribers,360.51
2 Subscribers,361.37
2 Subscribers,361.73
2 Subscribers,361.97
2 Subscribers,362.97
2 Subscribers,366.92
2 Subscribers,367.51
2 Subscribers,367.51
2 Subscribers,368.09
2 Subscribers,368.15
2 Subscribers,368.41
2 Subscribers,368.84
2 Subscribers,369.09
2 Subscribers,369.68
2 Subscribers,370.5
2 Subscribers,370.79
2 Subscribers,371.37
2 Subscribers,373.09
2 Subscribers,373.82
2 Subscribers,374.73
2 Subscribers,376.28
2 Subscribers,376.33
2 Subscribers,376.67
2 Subscribers,377.62
2 Subscribers,378.38
2 Subscribers,378.38
2 Subscribers,381.04
2 Subscribers,382.19
2 Subscribers,382.85
2 Subscribers,383.64
2 Subscribers,383.95
2 Subscribers,384.5
2 Subscribers,388.25
2 Subscribers,395.53
2 Subscribers,399.97
2 Subscribers,402.2
2 Subscribers,407.7
2 Subscribers,418.57
2 Subscribers,418.85
2 Subscribers,422.93
2 Subscribers,429.14
4 Subscribers,375.59
4 Subscribers,376.99
4 Subscribers,377.44
4 Subscribers,378.52
4 Subscribers,385.18
4 Subscribers,386.38
4 Subscribers,386.62
4 Subscribers,387.73
4 Subscribers,389.82
4 Subscribers,389.82
4 Subscribers,390.8
4 Subscribers,391.25
4 Subscribers,392.75
4 Subscribers,392.83
4 Subscribers,393.04
4 Subscribers,393.14
4 Subscribers,393.83
4 Subscribers,394.24
4 Subscribers,394.77
4 Subscribers,395.31
4 Subscribers,396.16
4 Subscribers,396.32
4 Subscribers,399.34
4 Subscribers,399.72
4 Subscribers,399.95
4 Subscribers,400.31
4 Subscribers,400.86
4 Subscribers,401.67
4 Subscribers,402.23
4 Subscribers,402.89
4 Subscribers,403.87
4 Subscribers,404.18
4 Subscribers,404.45
4 Subscribers,404.92
4 Subscribers,405.4
4 Subscribers,405.48
4 Subscribers,406.3
4 Subscribers,406.74
4 Subscribers,407.42
4 Subscribers,407.53
4 Subscribers,407.94
4 Subscribers,407.97
4 Subscribers,408.57
4 Subscribers,409.05
4 Subscribers,409.73
4 Subscribers,409.91
4 Subscribers,409.95
4 Subscribers,410.58
4 Subscribers,410.86
4 Subscribers,412.28
4 Subscribers,413.7
4 Subscribers,414.13
4 Subscribers,414.44
4 Subscribers,414.6
4 Subscribers,414.88
4 Subscribers,415
4 Subscribers,415.17
4 Subscribers,415.22
4 Subscribers,415.42
4 Subscribers,415.52
4 Subscribers,416.27
4 Subscribers,417.04
