Subscribers,Delay (ms)
2 Subscribers,460.65
2 Subscribers,460.54
2 Subscribers,453.00
2 Subscribers,452.75
2 Subscribers,447.12
2 Subscribers,447.03
2 Subscribers,429.16
2 Subscribers,429.16
2 Subscribers,427.72
2 Subscribers,427.40
2 Subscribers,421.58
2 Subscribers,416.56
2 Subscribers,414.22
2 Subscribers,411.97
2 Subscribers,411.16
2 Subscribers,410.59
2 Subscribers,409.21
2 Subscribers,409.05
2 Subscribers,405.32
2 Subscribers,403.87
2 Subscribers,403.31
2 Subscribers,403.16
2 Subscribers,403.13
2 Subscribers,402.74
2 Subscribers,401.80
2 Subscribers,401.40
2 Subscribers,400.61
2 Subscribers,400.57
2 Subscribers,399.27
2 Subscribers,398.82
2 Subscribers,398.71
2 Subscribers,398.56
2 Subscribers,398.22
2 Subscribers,397.97
2 Subscribers,397.17
2 Subscribers,396.96
2 Subscribers,396.93
2 Subscribers,395.66
2 Subscribers,394.94
2 Subscribers,394.23
2 Subscribers,394.07
2 Subscribers,392.71
2 Subscribers,392.08
2 Subscribers,391.36
2 Subscribers,389.52
2 Subscribers,388.84
2 Subscribers,388.84
2 Subscribers,388.43
2 Subscribers,387.88
2 Subscribers,387.67
2 Subscribers,387.37
2 Subscribers,385.93
2 Subscribers,385.12
2 Subscribers,384.08
2 Subscribers,383.87
2 Subscribers,381.93
2 Subscribers,380.65
2 Subscribers,379.91
2 Subscribers,378.57
2 Subscribers,378.54
2 Subscribers,375.56
2 Subscribers,375.52
2 Subscribers,375.42
2 Subscribers,375.03
2 Subscribers,374.94
2 Subscribers,374.91
2 Subscribers,373.81
2 Subscribers,372.58
2 Subscribers,372.07
2 Subscribers,371.77
2 Subscribers,370.46
2 Subscribers,370.32
2 Subscribers,370.18
2 Subscribers,370.11
2 Subscribers,369.95
2 Subscribers,369.58
2 Subscribers,368.32
2 Subscribers,367.56
2 Subscribers,367.00
2 Subscribers,366.49
2 Subscribers,365.81
2 Subscribers,365.75
2 Subscribers,365.65
2 Subscribers,365.11
2 Subscribers,365.07
2 Subscribers,365.01
2 Subscribers,364.36
2 Subscribers,364.21
2 Subscribers,364.07
2 Subscribers,363.62
2 Subscribers,363.56
2 Subscribers,363.51
2 Subscribers,362.89
2 Subscribers,362.79
2 Subscribers,362.45
2 Subscribers,360.62
2 Subscribers,360.14
2 Subscribers,360.01
2 Subscribers,356.67
2 Subscribers,356.16
4 Subscribers,921.09
4 Subscribers,920.13
4 Subscribers,917.95
4 Subscribers,913.89
4 Subscribers,905.46
4 Subscribers,905.34
4 Subscribers,902.85
4 Subscribers,901.37
4 Subscribers,884.04
4 Subscribers,883.54
4 Subscribers,868.05
4 Subscribers,867.37
4 Subscribers,867.09
4 Subscribers,865.83
4 Subscribers,863.06
4 Subscribers,862.05
4 Subscribers,858.62
4 Subscribers,856.43
4 Subscribers,856.43
4 Subscribers,856.09
4 Subscribers,854.72
4 Subscribers,854.49
4 Subscribers,854.49
4 Subscribers,854.02
4 Subscribers,853.90
4 Subscribers,853.90
4 Subscribers,853.83
4 Subscribers,853.73
4 Subscribers,853.67
4 Subscribers,851.99
4 Subscribers,848.99
4 Subscribers,848.99
4 Subscribers,847.60
4 Subscribers,846.99
4 Subscribers,846.76
4 Subscribers,846.18
4 Subscribers,844.29
4 Subscribers,844.29
4 Subscribers,844.29
4 Subscribers,844.05
4 Subscribers,843.27
4 Subscribers,841.24
4 Subscribers,840.44
4 Subscribers,840.42
4 Subscribers,839.74
4 Subscribers,839.25
4 Subscribers,839.24
4 Subscribers,837.79
4 Subscribers,837.58
4 Subscribers,837.56
4 Subscribers,837.34
4 Subscribers,836.95
4 Subscribers,836.72
4 Subscribers,835.84
4 Subscribers,835.15
4 Subscribers,835.01
4 Subscribers,834.04
4 Subscribers,833.18
4 Subscribers,830.95
4 Subscribers,830.93
4 Subscribers,830.22
4 Subscribers,830.12
4 Subscribers,829.73
4 Subscribers,829.10
4 Subscribers,828.94
4 Subscribers,828.26
4 Subscribers,827.87
4 Subscribers,827.77
4 Subscribers,827.70
4 Subscribers,825.57
4 Subscribers,823.04
4 Subscribers,822.92
4 Subscribers,821.57
4 Subscribers,820.67
4 Subscribers,820.50
4 Subscribers,820.41
4 Subscribers,819.85
4 Subscribers,819.59
4 Subscribers,819.05
4 Subscribers,818.68
4 Subscribers,817.21
4 Subscribers,816.43
4 Subscribers,816.24
4 Subscribers,815.61
4 Subscribers,815.50
4 Subscribers,815.31
4 Subscribers,814.16
4 Subscribers,813.74
4 Subscribers,813.32
4 Subscribers,812.48
4 Subscribers,811.93
4 Subscribers,811.06
4 Subscribers,809.42
4 Subscribers,808.77
4 Subscribers,808.74
4 Subscribers,807.84
4 Subscribers,806.97
4 Subscribers,806.31
4 Subscribers,806.24
4 Subscribers,805.74
4 Subscribers,804.50
4 Subscribers,804.45
4 Subscribers,803.95
4 Subscribers,803.50
4 Subscribers,803.45
4 Subscribers,802.81
4 Subscribers,802.76
4 Subscribers,802.73
4 Subscribers,802.25
4 Subscribers,802.18
4 Subscribers,801.94
4 Subscribers,801.78
4 Subscribers,801.65
4 Subscribers,801.59
4 Subscribers,801.31
4 Subscribers,801.08
4 Subscribers,801.00
4 Subscribers,800.49
4 Subscribers,799.56
4 Subscribers,798.93
4 Subscribers,798.81
4 Subscribers,798.30
4 Subscribers,797.28
4 Subscribers,796.59
4 Subscribers,794.50
4 Subscribers,794.26
4 Subscribers,794.25
4 Subscribers,794.16
4 Subscribers,794.14
4 Subscribers,794.09
4 Subscribers,793.76
4 Subscribers,793.75
4 Subscribers,793.40
4 Subscribers,793.31
4 Subscribers,793.31
4 Subscribers,792.58
4 Subscribers,792.43
4 Subscribers,792.40
4 Subscribers,791.66
4 Subscribers,791.06
4 Subscribers,790.76
4 Subscribers,790.49
4 Subscribers,790.47
4 Subscribers,790.27
4 Subscribers,789.78
4 Subscribers,789.72
4 Subscribers,789.41
4 Subscribers,789.34
4 Subscribers,789.00
4 Subscribers,788.96
4 Subscribers,788.64
4 Subscribers,788.58
4 Subscribers,788.42
4 Subscribers,787.79
4 Subscribers,787.61
4 Subscribers,787.08
4 Subscribers,786.28
4 Subscribers,785.22
4 Subscribers,785.01
4 Subscribers,783.78
4 Subscribers,783.66
4 Subscribers,783.44
4 Subscribers,783.15
4 Subscribers,782.90
4 Subscribers,782.51
4 Subscribers,782.25
4 Subscribers,782.03
4 Subscribers,780.28
4 Subscribers,779.85
4 Subscribers,779.37
4 Subscribers,779.03
4 Subscribers,778.84
4 Subscribers,778.74
4 Subscribers,778.63
4 Subscribers,777.99
4 Subscribers,777.80
4 Subscribers,777.14
4 Subscribers,777.11
4 Subscribers,777.03
4 Subscribers,776.97
4 Subscribers,776.88
4 Subscribers,776.72
4 Subscribers,775.91
4 Subscribers,775.33
4 Subscribers,774.57
4 Subscribers,774.25
4 Subscribers,774.16
4 Subscribers,773.81
4 Subscribers,773.61
4 Subscribers,773.59
4 Subscribers,773.06
4 Subscribers,772.95
4 Subscribers,772.95
4 Subscribers,772.90
4 Subscribers,772.82
4 Subscribers,772.66
4 Subscribers,772.20
4 Subscribers,771.80
4 Subscribers,771.75
4 Subscribers,771.50
4 Subscribers,771.42
4 Subscribers,769.68
4 Subscribers,769.33
4 Subscribers,768.75
4 Subscribers,768.68
4 Subscribers,768.67
4 Subscribers,768.01
4 Subscribers,767.62
4 Subscribers,767.03
4 Subscribers,766.04
4 Subscribers,765.33
4 Subscribers,765.00
4 Subscribers,764.36
4 Subscribers,764.19
4 Subscribers,763.78
4 Subscribers,762.90
4 Subscribers,762.60
4 Subscribers,760.88
4 Subscribers,760.72
4 Subscribers,760.69
4 Subscribers,760.66
4 Subscribers,760.55
4 Subscribers,760.16
4 Subscribers,759.78
4 Subscribers,759.15
4 Subscribers,758.81
4 Subscribers,758.20
4 Subscribers,758.19
4 Subscribers,757.69
4 Subscribers,757.60
4 Subscribers,757.46
4 Subscribers,757.19
4 Subscribers,757.06
4 Subscribers,756.20
4 Subscribers,755.44
4 Subscribers,754.65
4 Subscribers,754.62
4 Subscribers,753.91
4 Subscribers,753.50
4 Subscribers,753.09
4 Subscribers,752.80
4 Subscribers,752.43
4 Subscribers,751.53
4 Subscribers,751.32
4 Subscribers,750.67
4 Subscribers,750.43
4 Subscribers,750.23
4 Subscribers,750.23
4 Subscribers,749.64
4 Subscribers,749.48
4 Subscribers,749.35
4 Subscribers,749.07
4 Subscribers,749.03
4 Subscribers,748.67
4 Subscribers,748.15
4 Subscribers,747.97
4 Subscribers,747.84
4 Subscribers,747.83
4 Subscribers,747.71
4 Subscribers,747.47
4 Subscribers,747.13
4 Subscribers,746.67
4 Subscribers,746.64
4 Subscribers,746.56
4 Subscribers,746.46
4 Subscribers,746.36
4 Subscribers,746.04
4 Subscribers,745.46
4 Subscribers,745.35
4 Subscribers,745.13
4 Subscribers,744.61
4 Subscribers,744.23
4 Subscribers,744.13
4 Subscribers,743.67
4 Subscribers,743.15
4 Subscribers,742.78
4 Subscribers,742.54
4 Subscribers,741.96
4 Subscribers,741.01
4 Subscribers,740.95
4 Subscribers,740.71
4 Subscribers,740.21
4 Subscribers,739.99
4 Subscribers,739.57
4 Subscribers,739.39
4 Subscribers,738.49
4 Subscribers,738.46
4 Subscribers,738.36
4 Subscribers,738.22
4 Subscribers,737.20
4 Subscribers,737.07
4 Subscribers,736.55
4 Subscribers,735.82
4 Subscribers,735.82
4 Subscribers,735.79
4 Subscribers,735.49
4 Subscribers,734.42
