Subscribers, Delay (ms)
2 Subscribers, 348.00
2 Subscribers, 349.00
2 Subscribers, 281.00
2 Subscribers, 281.00
2 Subscribers, 247.00
2 Subscribers, 247.00
2 Subscribers, 243.00
2 Subscribers, 243.00
2 Subscribers, 289.00
2 Subscribers, 289.00
2 Subscribers, 260.00
2 Subscribers, 260.00
2 Subscribers, 274.00
2 Subscribers, 274.00
2 Subscribers, 252.00
2 Subscribers, 252.00
2 Subscribers, 410.00
2 Subscribers, 410.00
2 Subscribers, 241.00
2 Subscribers, 241.00
2 Subscribers, 240.00
2 Subscribers, 240.00
2 Subscribers, 243.00
2 Subscribers, 243.00
2 Subscribers, 234.00
2 Subscribers, 234.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 276.00
2 Subscribers, 276.00
2 Subscribers, 273.00
2 Subscribers, 273.00
2 Subscribers, 246.00
2 Subscribers, 246.00
2 Subscribers, 232.00
2 Subscribers, 232.00
2 Subscribers, 238.00
2 Subscribers, 238.00
2 Subscribers, 239.00
2 Subscribers, 239.00
2 Subscribers, 234.00
2 Subscribers, 234.00
2 Subscribers, 237.00
2 Subscribers, 237.00
2 Subscribers, 250.00
2 Subscribers, 250.00
2 Subscribers, 245.00
2 Subscribers, 245.00
2 Subscribers, 236.00
2 Subscribers, 236.00
2 Subscribers, 248.00
2 Subscribers, 248.00
2 Subscribers, 242.00
2 Subscribers, 242.00
2 Subscribers, 238.00
2 Subscribers, 238.00
2 Subscribers, 247.00
2 Subscribers, 247.00
2 Subscribers, 238.00
2 Subscribers, 238.00
2 Subscribers, 247.00
2 Subscribers, 247.00
2 Subscribers, 274.00
2 Subscribers, 274.00
2 Subscribers, 266.00
2 Subscribers, 266.00
2 Subscribers, 274.00
2 Subscribers, 274.00
2 Subscribers, 280.00
2 Subscribers, 280.00
2 Subscribers, 266.00
2 Subscribers, 266.00
2 Subscribers, 260.00
2 Subscribers, 260.00
2 Subscribers, 232.00
2 Subscribers, 232.00
2 Subscribers, 265.00
2 Subscribers, 265.00
2 Subscribers, 244.00
2 Subscribers, 244.00
2 Subscribers, 245.00
2 Subscribers, 245.00
2 Subscribers, 237.00
2 Subscribers, 237.00
2 Subscribers, 248.00
2 Subscribers, 248.00
2 Subscribers, 236.00
2 Subscribers, 236.00
2 Subscribers, 236.00
2 Subscribers, 236.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 247.00
2 Subscribers, 247.00
2 Subscribers, 248.00
2 Subscribers, 248.00
2 Subscribers, 242.00
2 Subscribers, 242.00
2 Subscribers, 241.00
2 Subscribers, 241.00
2 Subscribers, 228.00
2 Subscribers, 228.00
2 Subscribers, 246.00
2 Subscribers, 246.00
2 Subscribers, 242.00
2 Subscribers, 242.00
2 Subscribers, 272.00
2 Subscribers, 272.00
2 Subscribers, 248.00
2 Subscribers, 248.00
2 Subscribers, -59719.00
2 Subscribers, -59719.00
2 Subscribers, 261.00
2 Subscribers, 261.00
2 Subscribers, 258.00
2 Subscribers, 258.00
2 Subscribers, 235.00
2 Subscribers, 235.00
2 Subscribers, 262.00
2 Subscribers, 262.00
2 Subscribers, 233.00
