Subscribers, Delay (ms)
2 Subscribers, 363.00
2 Subscribers, 363.00
2 Subscribers, 267.00
2 Subscribers, 267.00
2 Subscribers, 257.00
2 Subscribers, 256.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 309.00
2 Subscribers, 309.00
2 Subscribers, 288.00
2 Subscribers, 288.00
2 Subscribers, 298.00
2 Subscribers, 298.00
2 Subscribers, 260.00
2 Subscribers, 260.00
2 Subscribers, 440.00
2 Subscribers, 440.00
2 Subscribers, 259.00
2 Subscribers, 259.00
2 Subscribers, 252.00
2 Subscribers, 252.00
2 Subscribers, 255.00
2 Subscribers, 255.00
2 Subscribers, 242.00
2 Subscribers, 242.00
2 Subscribers, 271.00
2 Subscribers, 271.00
2 Subscribers, 276.00
2 Subscribers, 276.00
2 Subscribers, 285.00
2 Subscribers, 285.00
2 Subscribers, 252.00
2 Subscribers, 252.00
2 Subscribers, 245.00
2 Subscribers, 245.00
2 Subscribers, 249.00
2 Subscribers, 249.00
2 Subscribers, 261.00
2 Subscribers, 261.00
2 Subscribers, 247.00
2 Subscribers, 247.00
2 Subscribers, 251.00
2 Subscribers, 251.00
2 Subscribers, 264.00
2 Subscribers, 264.00
2 Subscribers, 251.00
2 Subscribers, 251.00
2 Subscribers, 258.00
2 Subscribers, 258.00
2 Subscribers, 259.00
2 Subscribers, 259.00
2 Subscribers, 256.00
2 Subscribers, 256.00
2 Subscribers, 256.00
2 Subscribers, 256.00
2 Subscribers, 260.00
2 Subscribers, 260.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 253.00
2 Subscribers, 287.00
2 Subscribers, 287.00
2 Subscribers, 279.00
2 Subscribers, 279.00
2 Subscribers, 278.00
2 Subscribers, 278.00
2 Subscribers, 297.00
2 Subscribers, 298.00
2 Subscribers, 273.00
2 Subscribers, 273.00
2 Subscribers, 282.00
2 Subscribers, 282.00
2 Subscribers, 265.00
2 Subscribers, 265.00
2 Subscribers, 265.00
2 Subscribers, 265.00
2 Subscribers, 253.00
2 Subscribers, 252.00
2 Subscribers, 274.00
2 Subscribers, 273.00
2 Subscribers, 254.00
2 Subscribers, 254.00
2 Subscribers, 256.00
2 Subscribers, 256.00
2 Subscribers, 249.00
