PID, Clients, Delay (ms)
71889,32 Pubs and Subs ,0.51
71889,32 Pubs and Subs ,1.62
71889,32 Pubs and Subs ,1.76
71889,32 Pubs and Subs ,1.68
71889,32 Pubs and Subs ,1.87
71889,32 Pubs and Subs ,1.92
71889,32 Pubs and Subs ,1.94
71889,32 Pubs and Subs ,2.49
71889,32 Pubs and Subs ,2.54
71889,32 Pubs and Subs ,3.16
71889,32 Pubs and Subs ,3.25
71889,32 Pubs and Subs ,3.33
71889,32 Pubs and Subs ,3.40
71889,32 Pubs and Subs ,3.73
71889,32 Pubs and Subs ,3.86
71889,32 Pubs and Subs ,3.87
71889,32 Pubs and Subs ,3.87
71889,32 Pubs and Subs ,3.96
71889,32 Pubs and Subs ,4.39
71889,32 Pubs and Subs ,4.25
71889,32 Pubs and Subs ,4.45
71889,32 Pubs and Subs ,5.06
71889,32 Pubs and Subs ,5.12
71889,32 Pubs and Subs ,5.45
71889,32 Pubs and Subs ,5.58
71889,32 Pubs and Subs ,5.61
71889,32 Pubs and Subs ,5.86
71889,32 Pubs and Subs ,5.51
71889,32 Pubs and Subs ,5.93
71889,32 Pubs and Subs ,6.08
71889,32 Pubs and Subs ,6.12
71889,32 Pubs and Subs ,5.94
71890,32 Pubs and Subs ,9.69
71890,32 Pubs and Subs ,11.01
71890,32 Pubs and Subs ,11.43
71890,32 Pubs and Subs ,12.24
71890,32 Pubs and Subs ,12.74
71890,32 Pubs and Subs ,12.89
71890,32 Pubs and Subs ,12.89
71890,32 Pubs and Subs ,13.02
71890,32 Pubs and Subs ,13.04
71890,32 Pubs and Subs ,13.32
71890,32 Pubs and Subs ,13.38
71890,32 Pubs and Subs ,14.68
71890,32 Pubs and Subs ,14.69
71890,32 Pubs and Subs ,14.78
71890,32 Pubs and Subs ,14.80
71890,32 Pubs and Subs ,15.05
71890,32 Pubs and Subs ,15.09
71890,32 Pubs and Subs ,15.38
71890,32 Pubs and Subs ,15.39
71890,32 Pubs and Subs ,15.78
71890,32 Pubs and Subs ,19.02
71890,32 Pubs and Subs ,20.93
71890,32 Pubs and Subs ,20.96
71890,32 Pubs and Subs ,21.22
71890,32 Pubs and Subs ,21.39
71890,32 Pubs and Subs ,21.77
71890,32 Pubs and Subs ,22.09
71890,32 Pubs and Subs ,22.31
71890,32 Pubs and Subs ,22.69
71890,32 Pubs and Subs ,22.71
71890,32 Pubs and Subs ,23.26
71890,32 Pubs and Subs ,23.27
71898,32 Pubs and Subs ,418.50
71898,32 Pubs and Subs ,418.51
71898,32 Pubs and Subs ,420.60
71898,32 Pubs and Subs ,420.72
