PID, Clients, Delay (ms)
53131,16 Pubs and Subs ,590.70
53131,16 Pubs and Subs ,639.74
53131,16 Pubs and Subs ,658.35
53131,16 Pubs and Subs ,642.91
53131,16 Pubs and Subs ,641.40
53131,16 Pubs and Subs ,629.70
53131,16 Pubs and Subs ,678.20
53131,16 Pubs and Subs ,692.87
53131,16 Pubs and Subs ,693.24
53131,16 Pubs and Subs ,704.82
53131,16 Pubs and Subs ,705.56
53131,16 Pubs and Subs ,707.14
53131,16 Pubs and Subs ,731.74
53131,16 Pubs and Subs ,757.52
53131,16 Pubs and Subs ,709.13
53131,16 Pubs and Subs ,802.69
53123,16 Pubs and Subs ,1044.03
53123,16 Pubs and Subs ,1096.34
53123,16 Pubs and Subs ,1101.71
53123,16 Pubs and Subs ,1113.21
53123,16 Pubs and Subs ,1104.74
53123,16 Pubs and Subs ,1132.66
53123,16 Pubs and Subs ,1133.73
53123,16 Pubs and Subs ,1157.03
53123,16 Pubs and Subs ,1152.54
53123,16 Pubs and Subs ,1199.08
53123,16 Pubs and Subs ,1244.03
53123,16 Pubs and Subs ,1241.85
53123,16 Pubs and Subs ,1248.67
53123,16 Pubs and Subs ,1261.90
53123,16 Pubs and Subs ,1273.99
53123,16 Pubs and Subs ,1339.47
53111,16 Pubs and Subs ,1431.23
53111,16 Pubs and Subs ,1487.41
53111,16 Pubs and Subs ,1513.28
53111,16 Pubs and Subs ,1523.83
53111,16 Pubs and Subs ,1538.13
53111,16 Pubs and Subs ,1531.02
53111,16 Pubs and Subs ,1566.18
53111,16 Pubs and Subs ,1576.16
53111,16 Pubs and Subs ,1582.65
53111,16 Pubs and Subs ,1639.63
53111,16 Pubs and Subs ,1657.68
53111,16 Pubs and Subs ,1662.77
53111,16 Pubs and Subs ,1668.27
53111,16 Pubs and Subs ,1695.01
53111,16 Pubs and Subs ,1705.64
53111,16 Pubs and Subs ,1713.58
53122,16 Pubs and Subs ,1831.35
53122,16 Pubs and Subs ,1853.36
53122,16 Pubs and Subs ,1895.89
53122,16 Pubs and Subs ,1930.43
53122,16 Pubs and Subs ,1935.39
53122,16 Pubs and Subs ,1936.49
53122,16 Pubs and Subs ,1945.90
53122,16 Pubs and Subs ,1939.67
53122,16 Pubs and Subs ,1940.21
53122,16 Pubs and Subs ,1986.23
53122,16 Pubs and Subs ,2011.63
53122,16 Pubs and Subs ,2049.17
53122,16 Pubs and Subs ,2054.83
53122,16 Pubs and Subs ,2119.00
53122,16 Pubs and Subs ,2122.29
53122,16 Pubs and Subs ,2141.46
53121,16 Pubs and Subs ,2281.08
53121,16 Pubs and Subs ,2351.25
53121,16 Pubs and Subs ,2374.26
53121,16 Pubs and Subs ,2383.10
53121,16 Pubs and Subs ,2423.79
53121,16 Pubs and Subs ,2437.89
53121,16 Pubs and Subs ,2450.80
53121,16 Pubs and Subs ,2459.15
53121,16 Pubs and Subs ,2485.71
53121,16 Pubs and Subs ,2524.01
53121,16 Pubs and Subs ,2535.65
53121,16 Pubs and Subs ,2551.52
53121,16 Pubs and Subs ,2601.39
53121,16 Pubs and Subs ,2614.08
53121,16 Pubs and Subs ,2687.93
53121,16 Pubs and Subs ,2725.74
53130,16 Pubs and Subs ,2811.57
53130,16 Pubs and Subs ,2890.98
53130,16 Pubs and Subs ,2906.52
53130,16 Pubs and Subs ,2903.30
53130,16 Pubs and Subs ,2911.52
53130,16 Pubs and Subs ,2934.63
53130,16 Pubs and Subs ,2930.55
53130,16 Pubs and Subs ,2955.67
53130,16 Pubs and Subs ,2992.33
53130,16 Pubs and Subs ,3083.53
53130,16 Pubs and Subs ,3132.82
53130,16 Pubs and Subs ,3140.07
53130,16 Pubs and Subs ,3174.73
53130,16 Pubs and Subs ,3171.92
53124,16 Pubs and Subs ,3260.19
53130,16 Pubs and Subs ,3352.37
53124,16 Pubs and Subs ,3311.67
53124,16 Pubs and Subs ,3334.93
53124,16 Pubs and Subs ,3347.05
53130,16 Pubs and Subs ,3400.92
53124,16 Pubs and Subs ,3351.98
53124,16 Pubs and Subs ,3359.56
53124,16 Pubs and Subs ,3375.42
53124,16 Pubs and Subs ,3385.82
53124,16 Pubs and Subs ,3429.49
53124,16 Pubs and Subs ,3475.25
53124,16 Pubs and Subs ,3527.39
53124,16 Pubs and Subs ,3556.08
53124,16 Pubs and Subs ,3628.58
53124,16 Pubs and Subs ,3632.74
,16 Pubs and Subs ,3765.68
,16 Pubs and Subs ,3778.54
,16 Pubs and Subs ,3785.80
,16 Pubs and Subs ,3839.40
,16 Pubs and Subs ,3845.48
,16 Pubs and Subs ,3872.43
,16 Pubs and Subs ,3861.36
,16 Pubs and Subs ,3880.64
53124,16 Pubs and Subs ,3855.57
53124,16 Pubs and Subs ,3882.65
,16 Pubs and Subs ,3937.57
,16 Pubs and Subs ,3984.16
,16 Pubs and Subs ,4034.71
,16 Pubs and Subs ,4083.65
,16 Pubs and Subs ,4154.55
,16 Pubs and Subs ,4165.17
53129,16 Pubs and Subs ,4183.44
53129,16 Pubs and Subs ,4220.76
53129,16 Pubs and Subs ,4261.50
53129,16 Pubs and Subs ,4299.71
53129,16 Pubs and Subs ,4313.75
53129,16 Pubs and Subs ,4335.12
,16 Pubs and Subs ,4341.74
53129,16 Pubs and Subs ,4352.90
53129,16 Pubs and Subs ,4410.32
53129,16 Pubs and Subs ,4427.38
,16 Pubs and Subs ,4442.89
53129,16 Pubs and Subs ,4436.92
53129,16 Pubs and Subs ,4563.42
53129,16 Pubs and Subs ,4594.67
53120,16 Pubs and Subs ,4585.67
53129,16 Pubs and Subs ,4667.65
53129,16 Pubs and Subs ,4684.34
53120,16 Pubs and Subs ,4690.96
53120,16 Pubs and Subs ,4702.21
53120,16 Pubs and Subs ,4740.20
53129,16 Pubs and Subs ,4805.25
53120,16 Pubs and Subs ,4756.13
53120,16 Pubs and Subs ,4772.54
53120,16 Pubs and Subs ,4783.81
53120,16 Pubs and Subs ,4834.73
53120,16 Pubs and Subs ,4846.82
53129,16 Pubs and Subs ,4931.20
53120,16 Pubs and Subs ,4906.34
53120,16 Pubs and Subs ,5011.64
53112,16 Pubs and Subs ,5082.50
53120,16 Pubs and Subs ,5051.83
53120,16 Pubs and Subs ,5063.06
53120,16 Pubs and Subs ,5103.26
53112,16 Pubs and Subs ,5237.98
53112,16 Pubs and Subs ,5262.36
53120,16 Pubs and Subs ,5219.98
53112,16 Pubs and Subs ,5285.22
53112,16 Pubs and Subs ,5309.78
53112,16 Pubs and Subs ,5312.30
53112,16 Pubs and Subs ,5341.03
53112,16 Pubs and Subs ,5371.28
53112,16 Pubs and Subs ,5389.48
53120,16 Pubs and Subs ,5389.69
53112,16 Pubs and Subs ,5461.07
53112,16 Pubs and Subs ,5571.12
53112,16 Pubs and Subs ,5605.52
53118,16 Pubs and Subs ,5573.98
53112,16 Pubs and Subs ,5664.99
53112,16 Pubs and Subs ,5721.26
53112,16 Pubs and Subs ,5701.92
53118,16 Pubs and Subs ,5654.11
53118,16 Pubs and Subs ,5695.45
53118,16 Pubs and Subs ,5696.14
53118,16 Pubs and Subs ,5805.58
53118,16 Pubs and Subs ,5814.73
53118,16 Pubs and Subs ,5831.42
53118,16 Pubs and Subs ,5836.24
53112,16 Pubs and Subs ,5946.71
53118,16 Pubs and Subs ,5869.70
53118,16 Pubs and Subs ,5914.29
53118,16 Pubs and Subs ,6038.84
53118,16 Pubs and Subs ,6054.02
53125,16 Pubs and Subs ,6069.35
53125,16 Pubs and Subs ,6107.13
53125,16 Pubs and Subs ,6156.69
53118,16 Pubs and Subs ,6178.01
53125,16 Pubs and Subs ,6209.27
53118,16 Pubs and Subs ,6199.47
53118,16 Pubs and Subs ,6234.28
53125,16 Pubs and Subs ,6345.60
53118,16 Pubs and Subs ,6375.85
53125,16 Pubs and Subs ,6327.37
53125,16 Pubs and Subs ,6374.52
53125,16 Pubs and Subs ,6405.98
53125,16 Pubs and Subs ,6411.15
53125,16 Pubs and Subs ,6465.14
53125,16 Pubs and Subs ,6589.22
53126,16 Pubs and Subs ,6586.20
53125,16 Pubs and Subs ,6644.00
53125,16 Pubs and Subs ,6711.65
53126,16 Pubs and Subs ,6679.81
53126,16 Pubs and Subs ,6686.56
53125,16 Pubs and Subs ,6763.65
53126,16 Pubs and Subs ,6710.81
53125,16 Pubs and Subs ,6816.21
53126,16 Pubs and Subs ,6782.64
53125,16 Pubs and Subs ,6844.24
53126,16 Pubs and Subs ,6867.74
53126,16 Pubs and Subs ,6892.19
53126,16 Pubs and Subs ,6914.16
53126,16 Pubs and Subs ,6943.18
53126,16 Pubs and Subs ,6989.45
53126,16 Pubs and Subs ,7058.58
53127,16 Pubs and Subs ,7043.66
53126,16 Pubs and Subs ,7101.32
53126,16 Pubs and Subs ,7106.24
53127,16 Pubs and Subs ,7133.05
53127,16 Pubs and Subs ,7147.75
53127,16 Pubs and Subs ,7171.26
53126,16 Pubs and Subs ,7228.57
53126,16 Pubs and Subs ,7261.42
53126,16 Pubs and Subs ,7257.35
53127,16 Pubs and Subs ,7280.64
53127,16 Pubs and Subs ,7364.61
53127,16 Pubs and Subs ,7374.77
53127,16 Pubs and Subs ,7383.62
53127,16 Pubs and Subs ,7401.59
53127,16 Pubs and Subs ,7439.52
53127,16 Pubs and Subs ,7486.31
53128,16 Pubs and Subs ,7481.71
53128,16 Pubs and Subs ,7514.45
53128,16 Pubs and Subs ,7545.66
53127,16 Pubs and Subs ,7583.15
53127,16 Pubs and Subs ,7577.95
53128,16 Pubs and Subs ,7656.34
53127,16 Pubs and Subs ,7710.39
53127,16 Pubs and Subs ,7719.01
53127,16 Pubs and Subs ,7746.83
53128,16 Pubs and Subs ,7743.43
53128,16 Pubs and Subs ,7820.37
53128,16 Pubs and Subs ,7853.68
53128,16 Pubs and Subs ,7858.68
53128,16 Pubs and Subs ,7892.10
53128,16 Pubs and Subs ,7924.59
53128,16 Pubs and Subs ,8001.40
53132,16 Pubs and Subs ,6550.66
53132,16 Pubs and Subs ,6596.09
53132,16 Pubs and Subs ,6601.09
53128,16 Pubs and Subs ,8044.64
53128,16 Pubs and Subs ,8043.29
53128,16 Pubs and Subs ,8103.02
53132,16 Pubs and Subs ,6710.70
53128,16 Pubs and Subs ,8185.94
53132,16 Pubs and Subs ,6862.39
53128,16 Pubs and Subs ,8321.61
53132,16 Pubs and Subs ,6948.97
53132,16 Pubs and Subs ,6974.05
53132,16 Pubs and Subs ,6992.06
53132,16 Pubs and Subs ,7003.34
53132,16 Pubs and Subs ,7039.56
53133,16 Pubs and Subs ,7036.20
53133,16 Pubs and Subs ,7120.69
53132,16 Pubs and Subs ,7173.77
53133,16 Pubs and Subs ,7178.34
53132,16 Pubs and Subs ,7191.69
53132,16 Pubs and Subs ,7218.04
53132,16 Pubs and Subs ,7217.67
53133,16 Pubs and Subs ,7271.41
53132,16 Pubs and Subs ,7306.52
53133,16 Pubs and Subs ,7369.46
53132,16 Pubs and Subs ,7426.96
53133,16 Pubs and Subs ,7467.37
53133,16 Pubs and Subs ,7484.88
53133,16 Pubs and Subs ,7495.17
53134,16 Pubs and Subs ,7347.93
53133,16 Pubs and Subs ,7509.05
53134,16 Pubs and Subs ,7396.27
53133,16 Pubs and Subs ,7560.62
53133,16 Pubs and Subs ,7578.29
53133,16 Pubs and Subs ,7676.92
53133,16 Pubs and Subs ,7639.03
53133,16 Pubs and Subs ,7702.74
53134,16 Pubs and Subs ,7573.06
53134,16 Pubs and Subs ,7642.32
53133,16 Pubs and Subs ,7822.98
53135,16 Pubs and Subs ,7567.67
53134,16 Pubs and Subs ,7757.01
53133,16 Pubs and Subs ,7922.69
53134,16 Pubs and Subs ,7835.50
53134,16 Pubs and Subs ,7892.18
53135,16 Pubs and Subs ,7791.37
53134,16 Pubs and Subs ,7902.99
53134,16 Pubs and Subs ,7905.39
53134,16 Pubs and Subs ,7925.23
53134,16 Pubs and Subs ,7943.82
53134,16 Pubs and Subs ,7969.84
53134,16 Pubs and Subs ,8039.89
53134,16 Pubs and Subs ,8072.34
53135,16 Pubs and Subs ,7968.39
53136,16 Pubs and Subs ,8029.67
53135,16 Pubs and Subs ,8091.64
53134,16 Pubs and Subs ,8192.63
53135,16 Pubs and Subs ,8158.12
53134,16 Pubs and Subs ,8294.29
53135,16 Pubs and Subs ,8239.59
53135,16 Pubs and Subs ,8258.36
53135,16 Pubs and Subs ,8271.01
53136,16 Pubs and Subs ,8241.68
53135,16 Pubs and Subs ,8298.74
53135,16 Pubs and Subs ,8308.68
53136,16 Pubs and Subs ,8367.43
53135,16 Pubs and Subs ,8387.19
53135,16 Pubs and Subs ,8395.32
53135,16 Pubs and Subs ,8439.78
53135,16 Pubs and Subs ,8450.22
53137,16 Pubs and Subs ,8448.94
53136,16 Pubs and Subs ,8564.86
53135,16 Pubs and Subs ,8607.70
53136,16 Pubs and Subs ,8628.71
53135,16 Pubs and Subs ,8712.85
53136,16 Pubs and Subs ,8727.67
53136,16 Pubs and Subs ,8713.84
53137,16 Pubs and Subs ,8674.48
53136,16 Pubs and Subs ,8747.36
53136,16 Pubs and Subs ,8782.74
53136,16 Pubs and Subs ,8800.57
53137,16 Pubs and Subs ,8816.62
53136,16 Pubs and Subs ,8880.55
53136,16 Pubs and Subs ,8872.79
53136,16 Pubs and Subs ,8898.49
53136,16 Pubs and Subs ,8901.61
53139,16 Pubs and Subs ,8924.24
53137,16 Pubs and Subs ,9002.46
53137,16 Pubs and Subs ,9034.91
53137,16 Pubs and Subs ,9140.71
53137,16 Pubs and Subs ,9125.89
53139,16 Pubs and Subs ,9086.28
53136,16 Pubs and Subs ,9199.61
53136,16 Pubs and Subs ,9237.94
53137,16 Pubs and Subs ,9147.80
53137,16 Pubs and Subs ,9249.52
53137,16 Pubs and Subs ,9346.99
53137,16 Pubs and Subs ,9356.47
53137,16 Pubs and Subs ,9370.20
53137,16 Pubs and Subs ,9371.71
53139,16 Pubs and Subs ,9325.63
53137,16 Pubs and Subs ,9451.40
53140,16 Pubs and Subs ,9530.88
53139,16 Pubs and Subs ,9525.68
53139,16 Pubs and Subs ,9544.21
53139,16 Pubs and Subs ,9599.58
53139,16 Pubs and Subs ,9626.76
53137,16 Pubs and Subs ,9712.17
53140,16 Pubs and Subs ,9626.95
53139,16 Pubs and Subs ,9633.90
53137,16 Pubs and Subs ,9764.65
53139,16 Pubs and Subs ,9777.03
53140,16 Pubs and Subs ,9846.38
53139,16 Pubs and Subs ,9840.81
53139,16 Pubs and Subs ,9879.85
53139,16 Pubs and Subs ,9889.02
53139,16 Pubs and Subs ,9898.57
53139,16 Pubs and Subs ,9931.93
53142,16 Pubs and Subs ,9971.38
53140,16 Pubs and Subs ,10108.84
53140,16 Pubs and Subs ,10121.38
53140,16 Pubs and Subs ,10201.16
53139,16 Pubs and Subs ,10221.32
53140,16 Pubs and Subs ,10240.65
53142,16 Pubs and Subs ,10117.09
53139,16 Pubs and Subs ,10249.81
53140,16 Pubs and Subs ,10318.81
53140,16 Pubs and Subs ,10323.71
53142,16 Pubs and Subs ,10191.86
53140,16 Pubs and Subs ,10358.41
53140,16 Pubs and Subs ,10394.36
53140,16 Pubs and Subs ,10410.88
53140,16 Pubs and Subs ,10449.76
53140,16 Pubs and Subs ,10457.72
53141,16 Pubs and Subs ,10568.36
53142,16 Pubs and Subs ,10471.49
53142,16 Pubs and Subs ,10560.18
53140,16 Pubs and Subs ,10741.74
53140,16 Pubs and Subs ,10732.43
53142,16 Pubs and Subs ,10606.53
53142,16 Pubs and Subs ,10636.05
53142,16 Pubs and Subs ,10656.44
53141,16 Pubs and Subs ,10758.33
53142,16 Pubs and Subs ,10725.60
53142,16 Pubs and Subs ,10729.99
53142,16 Pubs and Subs ,10793.92
53141,16 Pubs and Subs ,10862.35
53142,16 Pubs and Subs ,10824.36
53142,16 Pubs and Subs ,10873.92
53142,16 Pubs and Subs ,10910.15
53138,16 Pubs and Subs ,11087.68
53142,16 Pubs and Subs ,11140.34
53141,16 Pubs and Subs ,11256.95
53141,16 Pubs and Subs ,11273.33
53142,16 Pubs and Subs ,11181.25
53141,16 Pubs and Subs ,11238.35
53141,16 Pubs and Subs ,11241.26
53141,16 Pubs and Subs ,11350.21
53138,16 Pubs and Subs ,11257.06
53141,16 Pubs and Subs ,11365.06
53141,16 Pubs and Subs ,11433.93
53141,16 Pubs and Subs ,11456.38
53141,16 Pubs and Subs ,11447.47
53141,16 Pubs and Subs ,11448.00
53138,16 Pubs and Subs ,11372.18
53141,16 Pubs and Subs ,11554.17
53141,16 Pubs and Subs ,11723.02
53141,16 Pubs and Subs ,11746.90
53138,16 Pubs and Subs ,11656.27
53138,16 Pubs and Subs ,11659.50
53138,16 Pubs and Subs ,11668.42
53138,16 Pubs and Subs ,11669.79
53146,16 Pubs and Subs ,11686.53
53146,16 Pubs and Subs ,11741.12
53138,16 Pubs and Subs ,11759.40
53138,16 Pubs and Subs ,11771.23
53138,16 Pubs and Subs ,11830.05
53138,16 Pubs and Subs ,11841.93
53138,16 Pubs and Subs ,11834.77
53138,16 Pubs and Subs ,11873.74
53146,16 Pubs and Subs ,11899.05
53138,16 Pubs and Subs ,11994.89
53138,16 Pubs and Subs ,12074.46
53138,16 Pubs and Subs ,12105.48
53146,16 Pubs and Subs ,12117.79
53146,16 Pubs and Subs ,12123.18
53146,16 Pubs and Subs ,12169.81
53145,16 Pubs and Subs ,12164.62
53145,16 Pubs and Subs ,12169.47
53146,16 Pubs and Subs ,12198.26
53146,16 Pubs and Subs ,12219.74
53146,16 Pubs and Subs ,12281.64
53146,16 Pubs and Subs ,12333.84
53146,16 Pubs and Subs ,12356.19
53146,16 Pubs and Subs ,12366.48
53146,16 Pubs and Subs ,12392.07
53145,16 Pubs and Subs ,12409.12
53146,16 Pubs and Subs ,12554.00
53145,16 Pubs and Subs ,12575.84
53146,16 Pubs and Subs ,12619.07
53145,16 Pubs and Subs ,12595.09
53147,16 Pubs and Subs ,12656.40
53147,16 Pubs and Subs ,12660.64
53146,16 Pubs and Subs ,12672.16
53145,16 Pubs and Subs ,12648.12
53145,16 Pubs and Subs ,12667.33
53145,16 Pubs and Subs ,12681.15
53145,16 Pubs and Subs ,12798.21
53145,16 Pubs and Subs ,12822.71
53145,16 Pubs and Subs ,12837.78
53145,16 Pubs and Subs ,12865.07
53147,16 Pubs and Subs ,12908.68
53145,16 Pubs and Subs ,12913.31
53147,16 Pubs and Subs ,13093.50
53145,16 Pubs and Subs ,13075.02
53147,16 Pubs and Subs ,13113.36
53143,16 Pubs and Subs ,13107.96
53145,16 Pubs and Subs ,13105.96
53143,16 Pubs and Subs ,13152.20
53147,16 Pubs and Subs ,13152.87
53147,16 Pubs and Subs ,13210.52
53147,16 Pubs and Subs ,13214.34
53145,16 Pubs and Subs ,13212.45
53147,16 Pubs and Subs ,13360.20
53147,16 Pubs and Subs ,13379.63
53147,16 Pubs and Subs ,13395.79
53143,16 Pubs and Subs ,13381.13
53147,16 Pubs and Subs ,13404.56
53147,16 Pubs and Subs ,13434.43
53143,16 Pubs and Subs ,13527.97
53144,16 Pubs and Subs ,13477.46
53143,16 Pubs and Subs ,13606.74
53147,16 Pubs and Subs ,13636.68
53147,16 Pubs and Subs ,13651.76
53143,16 Pubs and Subs ,13674.22
53144,16 Pubs and Subs ,13585.88
53143,16 Pubs and Subs ,13709.05
53143,16 Pubs and Subs ,13710.78
53147,16 Pubs and Subs ,13743.31
53143,16 Pubs and Subs ,13844.21
53143,16 Pubs and Subs ,13874.04
53143,16 Pubs and Subs ,13880.66
53144,16 Pubs and Subs ,13796.26
53143,16 Pubs and Subs ,13902.15
53143,16 Pubs and Subs ,13953.10
53144,16 Pubs and Subs ,13950.29
53144,16 Pubs and Subs ,13978.75
53159,16 Pubs and Subs ,12694.35
53143,16 Pubs and Subs ,14122.15
53144,16 Pubs and Subs ,14038.49
53144,16 Pubs and Subs ,14067.97
53144,16 Pubs and Subs ,14080.72
53159,16 Pubs and Subs ,12788.22
53143,16 Pubs and Subs ,14206.82
53143,16 Pubs and Subs ,14232.03
53144,16 Pubs and Subs ,14272.34
53159,16 Pubs and Subs ,12988.35
53144,16 Pubs and Subs ,14275.68
53144,16 Pubs and Subs ,14278.63
53144,16 Pubs and Subs ,14289.20
53144,16 Pubs and Subs ,14459.57
53159,16 Pubs and Subs ,13174.85
53159,16 Pubs and Subs ,13179.67
53158,16 Pubs and Subs ,13159.80
53144,16 Pubs and Subs ,14502.25
53159,16 Pubs and Subs ,13213.00
53158,16 Pubs and Subs ,13216.07
53144,16 Pubs and Subs ,14548.58
53144,16 Pubs and Subs ,14551.67
53159,16 Pubs and Subs ,13286.09
53159,16 Pubs and Subs ,13317.49
53158,16 Pubs and Subs ,13403.58
53159,16 Pubs and Subs ,13443.04
53159,16 Pubs and Subs ,13417.97
53159,16 Pubs and Subs ,13478.93
