Subscribers, Delay (ms)
2 Subscribers,46.23
2 Subscribers,47.47
2 Subscribers,61.34
2 Subscribers,72.64
2 Subscribers,41.62
2 Subscribers,41.91
2 Subscribers,36.59
2 Subscribers,46.85
2 Subscribers,43.59
2 Subscribers,60.92
2 Subscribers,33.72
2 Subscribers,40.87
2 Subscribers,38.20
2 Subscribers,45.38
2 Subscribers,40.84
2 Subscribers,57.49
2 Subscribers,39.27
2 Subscribers,41.68
2 Subscribers,36.81
2 Subscribers,43.73
2 Subscribers,41.86
2 Subscribers,55.64
2 Subscribers,34.82
2 Subscribers,41.35
2 Subscribers,33.36
2 Subscribers,36.01
2 Subscribers,33.25
2 Subscribers,35.39
2 Subscribers,34.70
2 Subscribers,35.16
2 Subscribers,41.17
2 Subscribers,41.89
2 Subscribers,39.80
2 Subscribers,45.24
2 Subscribers,35.15
2 Subscribers,49.00
2 Subscribers,34.30
2 Subscribers,52.27
2 Subscribers,55.79
2 Subscribers,59.69
2 Subscribers,37.14
2 Subscribers,42.74
2 Subscribers,35.59
2 Subscribers,47.23
2 Subscribers,37.59
2 Subscribers,46.03
2 Subscribers,40.80
2 Subscribers,48.34
2 Subscribers,35.71
2 Subscribers,45.93
2 Subscribers,38.82
2 Subscribers,50.58
2 Subscribers,36.22
2 Subscribers,39.42
2 Subscribers,34.35
2 Subscribers,40.91
2 Subscribers,43.70
2 Subscribers,52.79
2 Subscribers,57.71
2 Subscribers,57.85
2 Subscribers,40.91
2 Subscribers,49.94
2 Subscribers,39.71
2 Subscribers,40.78
2 Subscribers,40.59
2 Subscribers,53.15
2 Subscribers,40.10
2 Subscribers,60.01
2 Subscribers,36.34
2 Subscribers,44.97
2 Subscribers,38.10
2 Subscribers,46.38
2 Subscribers,49.94
2 Subscribers,64.07
2 Subscribers,34.15
2 Subscribers,34.47
2 Subscribers,34.82
2 Subscribers,54.16
2 Subscribers,33.96
2 Subscribers,44.11
2 Subscribers,43.30
2 Subscribers,45.42
2 Subscribers,33.98
2 Subscribers,50.31
2 Subscribers,37.39
2 Subscribers,44.67
2 Subscribers,33.44
