Subscribers, Delay (ms)
2 Subscribers,62.07
2 Subscribers,65.93
2 Subscribers,91.01
2 Subscribers,97.50
2 Subscribers,68.38
2 Subscribers,70.77
2 Subscribers,67.61
2 Subscribers,77.63
2 Subscribers,63.32
2 Subscribers,66.83
2 Subscribers,70.84
2 Subscribers,71.85
2 Subscribers,64.87
2 Subscribers,68.23
2 Subscribers,62.42
2 Subscribers,67.34
2 Subscribers,67.87
2 Subscribers,70.47
2 Subscribers,67.76
2 Subscribers,73.79
2 Subscribers,69.21
2 Subscribers,72.27
2 Subscribers,71.33
2 Subscribers,75.23
2 Subscribers,53.80
2 Subscribers,60.33
2 Subscribers,63.99
2 Subscribers,66.82
2 Subscribers,66.78
2 Subscribers,77.04
2 Subscribers,62.97
2 Subscribers,67.86
2 Subscribers,66.65
2 Subscribers,67.49
2 Subscribers,59.77
2 Subscribers,66.27
2 Subscribers,58.62
2 Subscribers,64.07
2 Subscribers,65.96
2 Subscribers,74.38
2 Subscribers,58.35
2 Subscribers,64.32
2 Subscribers,65.16
2 Subscribers,67.66
2 Subscribers,71.36
2 Subscribers,73.96
2 Subscribers,69.11
2 Subscribers,77.37
2 Subscribers,58.06
2 Subscribers,59.62
2 Subscribers,75.94
2 Subscribers,81.83
2 Subscribers,61.48
2 Subscribers,68.11
2 Subscribers,63.67
2 Subscribers,69.27
2 Subscribers,65.33
2 Subscribers,71.11
2 Subscribers,65.89
2 Subscribers,70.24
2 Subscribers,89.84
2 Subscribers,90.04
2 Subscribers,65.81
2 Subscribers,68.66
2 Subscribers,71.59
2 Subscribers,73.66
2 Subscribers,52.09
2 Subscribers,67.53
2 Subscribers,58.16
2 Subscribers,66.88
2 Subscribers,59.94
2 Subscribers,64.85
2 Subscribers,69.94
2 Subscribers,71.39
2 Subscribers,57.03
2 Subscribers,62.25
2 Subscribers,61.25
2 Subscribers,67.43
2 Subscribers,56.68
2 Subscribers,65.23
2 Subscribers,61.83
2 Subscribers,71.08
2 Subscribers,60.89
2 Subscribers,68.98
2 Subscribers,61.11
2 Subscribers,66.96
2 Subscribers,55.74
2 Subscribers,55.78
2 Subscribers,71.04
2 Subscribers,82.16
2 Subscribers,65.71
2 Subscribers,67.79
2 Subscribers,60.20
2 Subscribers,71.76
2 Subscribers,87.48
2 Subscribers,87.61
2 Subscribers,67.40
2 Subscribers,81.34
2 Subscribers,66.35
2 Subscribers,74.35
2 Subscribers,61.10
2 Subscribers,74.43
2 Subscribers,62.49
2 Subscribers,69.47
2 Subscribers,63.08
2 Subscribers,71.43
2 Subscribers,70.99
2 Subscribers,71.20
2 Subscribers,68.00
2 Subscribers,75.03
2 Subscribers,63.79
2 Subscribers,70.63
2 Subscribers,69.55
2 Subscribers,70.65
2 Subscribers,64.66
2 Subscribers,70.96
2 Subscribers,67.05
2 Subscribers,67.93
2 Subscribers,57.78
2 Subscribers,63.27
2 Subscribers,64.70
2 Subscribers,71.25
2 Subscribers,77.93
2 Subscribers,78.54
2 Subscribers,69.43
2 Subscribers,70.76
2 Subscribers,63.97
2 Subscribers,72.35
2 Subscribers,57.72
2 Subscribers,58.88
2 Subscribers,67.53
2 Subscribers,70.83
2 Subscribers,56.75
2 Subscribers,66.09
2 Subscribers,61.68
2 Subscribers,69.57
2 Subscribers,73.55
2 Subscribers,74.48
2 Subscribers,67.37
2 Subscribers,68.88
2 Subscribers,75.34
2 Subscribers,83.75
2 Subscribers,67.71
2 Subscribers,71.18
2 Subscribers,63.44
2 Subscribers,64.00
2 Subscribers,62.15
2 Subscribers,70.88
2 Subscribers,58.26
2 Subscribers,67.59
2 Subscribers,57.50
2 Subscribers,71.11
2 Subscribers,49.87
2 Subscribers,71.38
2 Subscribers,67.86
2 Subscribers,80.28
2 Subscribers,64.48
2 Subscribers,68.10
2 Subscribers,64.24
2 Subscribers,72.52
2 Subscribers,56.02
2 Subscribers,68.82
2 Subscribers,58.57
2 Subscribers,70.15
2 Subscribers,57.56
2 Subscribers,68.89
2 Subscribers,64.71
2 Subscribers,71.83
2 Subscribers,65.01
2 Subscribers,69.69
2 Subscribers,64.39
2 Subscribers,80.90
2 Subscribers,66.31
2 Subscribers,66.61
2 Subscribers,61.27
2 Subscribers,69.34
2 Subscribers,85.38
2 Subscribers,86.42
2 Subscribers,63.82
2 Subscribers,76.86
2 Subscribers,71.46
2 Subscribers,73.14
2 Subscribers,57.39
2 Subscribers,69.02
2 Subscribers,59.75
2 Subscribers,68.18
2 Subscribers,64.89
2 Subscribers,66.80
2 Subscribers,67.23
2 Subscribers,71.61
2 Subscribers,67.72
2 Subscribers,68.77
2 Subscribers,67.53
2 Subscribers,71.66
2 Subscribers,65.40
2 Subscribers,68.10
2 Subscribers,64.38
2 Subscribers,66.23
